"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board"
"C1,C4,C5,C7,C9,C14,C17,C19,C23,C26,C28,C31,C34,C37,C38,C39,C42,C43,C45,C47,C50,C53,C72,C80,C81,C106,C109,C135,C138,C163,C166,C185,C186","33","100nF","","",""
"C2,C8,C12,C13,C44,C46,C48,C75,C76,C77,C102,C103,C105,C131,C132,C134,C157,C158,C159,C160,C162,C188,C190","23","1uF","","",""
"C3,C15,C16,C18,C22,C25,C27,C32,C33,C40","10","10uF","","",""
"C6,C73","2","22uF","","",""
"C10,C11,C35,C36,C71","5","2.2nF","","",""
"C20,C21,C29,C30","4","2.2uF","","",""
"C24,C63,C64,C69,C70,C96,C97,C98,C99,C123,C124,C125,C126,C153,C154,C155,C156,C181,C182,C183,C184","21","10nF","","",""
"C41","1","10uF (Tantalum)","","",""
"C49,C52,C61,C62,C67,C68,C79,C82,C92,C93,C94,C95,C107,C108,C119,C120,C121,C122,C127,C128,C136,C137,C140,C149,C150,C151,C152,C164,C165,C168,C177,C178,C179,C180","34","1nF","","",""
"C51,C54,C78,C83,C104,C110,C133,C139,C161,C167","10","220uF","","",""
"C55,C56,C57,C58,C84,C85,C86,C87,C111,C112,C113,C114,C141,C142,C143,C144,C169,C170,C171,C172","20","220nF","","",""
"C59,C60,C65,C66,C88,C89,C90,C91,C115,C116,C117,C118,C145,C146,C147,C148,C173,C174,C175,C176","20","680nF","","",""
"CR1","1","SP3010-04UTG","","",""
"D1","1","SMAJ33CA","","",""
"D2,D5,D6,D7","4","WS2812B","","",""
"D3,D4","2","LED","","",""
"J1","1","SS-53200-001","","",""
"J2","1","Barrel_Jack","","",""
"J3","1","UART","","",""
"J5","1","SUBWOOFER_1","","",""
"J6","1","SUBWOOFER_2","","",""
"J7","1","SUBWOOFER_3","","",""
"J8","1","SUBWOOFER_4","","",""
"J9","1","SUBWOOFER_5","","",""
"J10","1","SUBWOOFER_6","","",""
"J11","1","TWEETER_1","","",""
"J12","1","TWEETER_2","","",""
"J13","1","TWEETER_3","","",""
"J14","1","TWEETER_4","","",""
"J15","1","USB_C_Receptacle_USB2.0_16P","","",""
"L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12","12","10uH/10A","","",""
"L13,L14,L15,L16,L17,L18,L19,L20","8","10uH/3A","","",""
"R1,R2","2","2.2K","","",""
"R3,R65","2","5.1K","","",""
"R4,R12,R25,R44,R49,R59,R67,R68,R69,R70,R71","11","10K","","",""
"R5,R6,R72,R73","4","1K","","",""
"R8,R9,R10,R11","4","470R","","",""
"R14","1","220R","","",""
"R15,R21,R22,R23,R24,R31,R32,R33,R34,R40,R41,R42,R43,R51,R52,R53,R54,R61,R62,R63,R64","21","3.3R","","",""
"R16,R17,R18,R20,R26,R27,R30,R35,R36,R39,R45,R46,R50,R55,R56,R60","16","100K","","",""
"R19","1","20K","","",""
"R28,R37,R47,R57","4","47K","","",""
"R29,R38,R48,R58","4","75K","","",""
"SW1","1","POWER","","",""
"SW2","1","PI_BOOT","","",""
"SW3","1","ESP_BOOT","","",""
"SW4","1","ESP_RESET","","",""
"SW6","1","SW_DPDT_x2","","",""
"U1","1","CM4102008","","",""
"U2,U3,U7","3","TPD4E02B04DQA","","",""
"U5,U14","2","PCM5102A","","",""
"U6","1","RT9742SNGV","","",""
"U8,U9","2","74LVC1G07","","",""
"U11","1","LP5907MFX-3.3","","",""
"U12,U13,U15,U16,U24,U25,U26","7","TS5A3159AYZPR","","",""
"U17,U18,U19","3","TPA3116D2DAD","","",""
"U20,U21","2","TPA3130D2DAPR","","",""
"U22","1","MPU-6050","","",""
"U23","1","BME680","","",""
"U27","1","TPS2041B","","",""
"U28","1","ESP32-WROVER-E-N16R8","","",""
"VR1","1","LM1085ISX-5.0_NOPB","","",""
